generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
4,1,full,99616.243250,80276.000000,39861.801665,3592.000000,4778.666667,1.000000,0.666667,0.333333,235898.728829,479.89445399,739.515508213,130.100117521,20.990668792
4,2,full,93752.451643,76952.000000,3990.967134,3590.333333,4096.000000,1.000000,1.000000,0.000000,230625.680578,554.612203423,1615.4896802,125.020406141,42.9973276666
4,3,full,86628.229889,70070.666667,8848.735553,3296.666667,4096.000000,1.000000,1.000000,0.000000,470135.173218,569.853571409,1491.61889263,114.110995359,25.6222368123
4,4,full,80944.091167,64256.000000,6238.176657,2974.000000,4096.000000,1.000000,1.000000,0.000000,235898.728829,479.89445399,739.515508213,130.100117521,16.1898505305
4,5,full,43305.360291,36965.333333,19866.127509,1858.333333,2389.333333,0.666667,0.333333,0.000000,440372.171921,651.095927805,2000,103.421188604,29.78671975
4,6,fast,27460.587623,24600.000000,9454.914207,1297.666667,1706.666667,0.666667,0.000000,0.000000,500000,142.674818942,1574.83484395,131.229002009,18.8594830333
4,7,fast,27320.512835,24624.000000,12736.409960,1328.666667,1536.000000,0.666667,0.000000,0.000000,468194.787455,325.107459926,1804.81746182,130.808747753,33.4855463647
4,8,fast,25291.567321,24046.666667,8435.320240,1335.666667,1365.333333,0.333333,0.000000,0.000000,471466.622798,306.981653353,1683.60906138,133.024891502,22.6633312526
4,9,fast,24673.082865,23546.666667,10805.009373,1308.333333,1365.333333,0.333333,0.000000,0.000000,467860.218503,419.024842738,100,128.787964124,23.3974247893
4,10,full,24530.487283,23388.000000,10483.587681,1306.000000,1365.333333,0.333333,0.000000,0.000000,186241.457824,173.012659732,2000,146.043455504,30.28705503
4,11,fast,23952.243012,22692.000000,8128.473083,1260.333333,1365.333333,0.333333,0.000000,0.000000,382331.928469,533.967645467,2000,136.22090407,30.444867401
4,12,fast,23582.814197,20900.000000,13010.382726,1086.000000,1536.000000,0.666667,0.000000,0.000000,125832.890662,648.759578788,1584.77478291,113.15131321,33.5700904117
4,13,fast,22081.360793,20678.666667,5279.450813,1161.666667,1365.333333,0.333333,0.000000,0.000000,474098.910449,142.099772334,1781.00455001,129.674103342,9.23694516311
4,14,fast,21690.061940,20661.333333,12758.761208,1167.666667,1194.666667,0.333333,0.000000,0.000000,190243.020544,343.849942504,1350.26349836,130.373154803,21.4763774227
4,15,fast,20964.846551,19929.333333,12623.068970,1122.000000,1194.666667,0.333333,0.000000,0.000000,202577.944262,325.189368751,1172.13233592,151.969847485,22.2200467644
4,16,fast,16457.009126,15188.000000,7953.150822,859.333333,1109.333333,0.333333,0.000000,0.000000,214187.288885,490.037022828,691.389429366,130.300066856,19.8122087201
5,1,full,162358.993934,120706.666667,6953.454649,5033.666667,8192.000000,1.000000,1.000000,1.000000,235898.728829,479.89445399,739.515508213,130.100117521,20.990668792
5,2,full,88835.831180,69172.000000,33390.043067,3114.333333,4778.666667,1.000000,0.666667,0.333333,470084.417474,141.954984204,1516.60245639,129.830981565,18.0874076982
5,3,full,71534.207403,59432.000000,17955.851934,2827.333333,3413.333333,1.000000,0.666667,0.000000,218312.40725,562.121737459,1719.03645667,122.359372707,34.3779103454
5,4,full,66762.309668,57006.666667,31553.806631,2680.333333,3072.000000,0.666667,0.666667,0.000000,181931.8196,428.044746181,1645.47960333,134.077324647,39.2436363805
5,5,full,55598.904721,47634.666667,20715.238921,2295.666667,2730.666667,1.000000,0.333333,0.000000,334553.881219,221.335430295,2000,132.347667016,29.9211240621
5,6,full,54902.073754,46985.333333,21665.191581,2286.333333,2730.666667,1.000000,0.333333,0.000000,485528.760565,578.226525697,1581.66024924,133.487463123,25.5985571762
5,7,fast,32028.504873,29092.000000,7936.569200,1551.333333,1706.666667,0.666667,0.000000,0.000000,230625.680578,554.612203423,1615.4896802,125.020406141,42.9973276666
5,8,fast,28778.751421,25710.666667,5304.971589,1377.333333,1706.666667,0.666667,0.000000,0.000000,232099.792261,550.805963198,698.893580631,125.077375482,26.8699036335
5,9,fast,28684.762126,25765.333333,8278.090816,1395.666667,1706.666667,0.666667,0.000000,0.000000,235898.728829,479.89445399,739.515508213,130.100117521,23.9072229117
5,10,fast,26519.821743,23484.000000,5950.231816,1264.000000,1706.666667,0.666667,0.000000,0.000000,465401.13949,569.865750371,1470.45768362,113.882776677,27.7929680623
5,11,fast,25018.248004,23916.000000,11288.373252,1316.666667,1365.333333,0.333333,0.000000,0.000000,405390.100498,546.785307306,647.16180687,95.6705358068,23.2350164168
